set_id,true_positive,true_negative,false_positive,micro_precision,micro_recall,micro_fscore,macro_precision,macro_recall,macro_fscore,weighted_precision,weighted_recall,weighted_fscore
10001,4262,186,462,0.959266802444,0.959266802444,0.959266802444,0.955139756306,0.955180304049,0.95515794374,0.942239178452,0.959266802444,0.949876811737
10002,4204,244,462,0.94399185336,0.94399185336,0.94399185336,0.938543649239,0.938601093847,0.938567775974,0.91977666971,0.94399185336,0.929947046843
10003,4308,140,462,0.965376782077,0.965376782077,0.965376782077,0.962005900308,0.962030601682,0.96201747438,0.954966496168,0.965376782077,0.959844338044
10004,1250,3198,462,0.348472505092,0.348472505092,0.348472505092,0.280927336708,0.281123109101,0.280949386159,0.266499295002,0.348472505092,0.275731772589
10005,2056,2392,462,0.509775967413,0.509775967413,0.509775967413,0.460609111723,0.460790217847,0.460634683554,0.433705198919,0.509775967413,0.444446242636
10006,1504,2944,462,0.397963340122,0.397963340122,0.397963340122,0.337174285797,0.337362480604,0.337197118256,0.31896820595,0.397963340122,0.328552174434
10007,2724,1724,462,0.647250509165,0.647250509165,0.647250509165,0.611220901141,0.611393916083,0.61125155026,0.574692270752,0.647250509165,0.587545762373
10008,4040,408,462,0.911608961303,0.911608961303,0.911608961303,0.902911250287,0.903004183898,0.90294458517,0.872477475923,0.911608961303,0.886513769592
10009,3324,1124,462,0.766802443992,0.766802443992,0.766802443992,0.743688391359,0.743837705918,0.743722917548,0.704000922862,0.766802443992,0.718522595916
10010,3612,836,462,0.827698574338,0.827698574338,0.827698574338,0.810127165287,0.81026650706,0.810164419858,0.769235818187,0.827698574338,0.78486648563
10011,3116,1332,462,0.726476578411,0.726476578411,0.726476578411,0.698713982305,0.698873585309,0.698747993646,0.659497926332,0.726476578411,0.673771052374
10012,3600,848,462,0.825254582485,0.825254582485,0.825254582485,0.807435726735,0.807575320695,0.807472962537,0.766686017608,0.825254582485,0.782308810318
10013,2946,1502,462,0.690427698574,0.690427698574,0.690427698574,0.659554898764,0.659718164084,0.659586618098,0.621804591201,0.690427698574,0.635136750834
10014,4208,240,462,0.948676171079,0.948676171079,0.948676171079,0.943444865987,0.943504601205,0.943470000478,0.923602198056,0.948676171079,0.934152449
